iter	RMSE
0	88.46679077
1	86.53143108
2	84.91010078
3	83.57556401
4	82.54815749
5	81.59398271
6	80.89715271
7	80.26606179
8	79.79583424
9	79.38243859
10	79.00569825
11	78.64152046
12	78.36613476
13	78.04265459
14	77.7929835
15	77.64206882
16	77.54601465
17	77.35800035
18	77.22871779
19	77.10542466
20	76.97963128
21	76.87455526
22	76.78071597
23	76.61764118
24	76.54615895
25	76.4670293
26	76.34833631
27	76.27585013
28	76.21275571
29	76.12780134
30	76.07235814
31	76.02151617
32	75.97612535
33	75.9594649
34	75.90785176
35	75.82990183
36	75.77448756
37	75.68300067
38	75.63430149
39	75.61597579
40	75.54761712
41	75.52543121
42	75.50331097
43	75.47940921
44	75.44239951
45	75.39363897
46	75.36534791
47	75.35174088
48	75.32924709
49	75.31713573
